molecule_chembl_id,canonical_smiles,bioactivity_class,value_uM
CHEMBL118483,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OCCc3ccccc3)cc2)c1)C(=O)O,Full Agonist,3
CHEMBL331206,CCCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,2.5
CHEMBL94496,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.167
CHEMBL420441,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.165
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,0.02
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,137
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,0.3
CHEMBL328615,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.027
CHEMBL325723,CCSC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,2.8
CHEMBL24458,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,0.8
CHEMBL120744,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,2.8
CHEMBL118939,CCC(Cc1ccc(OC)c(CNC(=O)c2ccc(C(F)(F)F)cc2)c1)C(=O)O,Partial Agonist,10
CHEMBL116947,CCC(Cc1ccc(OC)c(C(=O)NCc2cccc(Oc3ccccc3)c2)c1)C(=O)O,Full Agonist,6.2
CHEMBL122070,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(Oc3ccccc3)cc2)c1)C(=O)O,Full Agonist,2.4
CHEMBL94397,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.023
CHEMBL118198,CCC(Cc1ccc(OC)c(C(=O)NCc2ccccc2)c1)C(=O)O,Partial Agonist,10
CHEMBL97529,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.123
CHEMBL96758,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.353
CHEMBL96143,CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.106
CHEMBL96451,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.085
CHEMBL92130,CCCc1cc(Oc2ccc(OC)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.069
CHEMBL318684,CCCc1cc(Oc2ccc(Cl)c(Cl)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.047
CHEMBL119791,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(-c3ccccc3)cc2)c1)C(=O)O,Full Agonist,4
CHEMBL94306,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,0.014
CHEMBL122009,COc1ccc(CCCC(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,3
CHEMBL118279,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(CCc3ccccc3)cc2)c1)C(=O)O,Full Agonist,5.4
CHEMBL120009,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,0.4
CHEMBL331469,CCC(Cc1ccc(OC)c(C(=O)CCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,7.4
CHEMBL24458,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,0.8
CHEMBL120744,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,2.8
CHEMBL122009,COc1ccc(CCCC(=O)O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,3
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,137
CHEMBL331206,CCCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,2.5
CHEMBL120009,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,0.4
CHEMBL86817,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccco3)cc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,2.9
CHEMBL328455,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(-c3ccccc3)cc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,0.3
CHEMBL420973,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,0.6
CHEMBL86658,CCO[C@@H](Cc1ccc(OCCn2c3ccccc3c3ccccc32)cc1)C(=O)O,Full Agonist,0.17
CHEMBL314483,CCO[C@@H](Cc1ccc(OCC=C(c2ccccc2)c2ccccc2)cc1)C(=O)O,Full Agonist,2.7
CHEMBL421729,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(-c3ccccc3)cc2)cc1)C(=O)O,Full Agonist,1.7
CHEMBL89152,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,1.5
CHEMBL24038,CCO[C@@H](Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,Full Agonist,0.57
CHEMBL86688,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,4.3
CHEMBL672,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,Full Agonist,0.57
CHEMBL87307,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(Br)cc2)c2ccc(Br)cc2)cc1)C(=O)O,Full Agonist,0.9
CHEMBL87928,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,0.8
CHEMBL86657,CCO[C@@H](Cc1ccc(OCCN(c2ccccc2)c2ccccc2)cc1)C(=O)O,Full Agonist,3.3
CHEMBL327481,CCO[C@@H](Cc1ccc(OC/C=C(\c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O,Full Agonist,8.5
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,0.16
CHEMBL87380,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(C)cc2)c2ccc(C)cc2)cc1)C(=O)O,Full Agonist,3.1
CHEMBL315048,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(F)cc2)cc1)C(=O)O,Full Agonist,4
CHEMBL89996,CCO[C@@H](Cc1ccc(OC/C=C(/c2ccccc2)c2ccc(-c3ccco3)cc2)cc1)C(=O)O,Full Agonist,2
CHEMBL328099,CCO[C@@H](Cc1ccc(OCC=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1)C(=O)O,Full Agonist,2.2
CHEMBL299958,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1F,Full Agonist,0.3
CHEMBL54097,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1C,Full Agonist,0.1
CHEMBL52426,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,0.08
CHEMBL430970,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,0.02
