molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pEC50
CHEMBL118483,CCC(Cc1ccc(OC)c(C(=O)NCc2ccc(OCCc3ccccc3)cc2)c1)C(=O)O,Full Agonist,461.558,4.9,2,4,5.522878745
CHEMBL331206,CCCCC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,437.458,5.0775,2,3,5.602059991
CHEMBL94496,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,519.663,7.4268,1,6,6.777283529
CHEMBL420441,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,512.027,6.9568,1,6,6.782516056
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Full Agonist,357.435,2.4909,1,6,7.698970004
CHEMBL264374,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,Partial Agonist,361.825,3.5545,2,3,3.863279433
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,Full Agonist,477.582,6.3034,1,6,6.522878745
CHEMBL328615,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,Full Agonist,526.054,7.26522,1,6,7.568636236
CHEMBL325723,CCSC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,441.471,4.3928,2,4,5.552841969
CHEMBL24458,COc1ccc(CC2SC(=O)NC2=O)cc1C(=O)NCc1ccc(C(F)(F)F)cc1,Full Agonist,438.427,3.5381,2,5,6.096910013
CHEMBL120744,CCOC(Cc1ccc(OC)c(C(=O)NCc2ccc(C(F)(F)F)cc2)c1)C(=O)O,Full Agonist,425.403,3.6762,2,4,5.552841969
